x1,x2,x3,x4,x5,loss
27312.5,245,221.75,2081.25,0,1
126938,69,128.5,3188.2,3,0
180065,45,375,3778.5,1,0
134997.5,63,101,3277.75,4,0
125349.5,70,98,3170.55,4,0
26340.5,284,352.25,2070.45,0,1
598308.5,2,440.25,8425.65,5,0
70728.5,129,355.75,2563.65,0,1
557412.5,3,505.25,7971.25,4,0
496014.5,6,421.5,7289.05,4,0
178058,46,119.75,3756.2,5,0
597503,2,495.25,8416.7,5,0
25521.5,278,98,2061.35,0,0
24108.5,293,228.25,2045.65,0,1
193695.5,41,322.5,3929.95,2,0
116426,75,347.5,3071.4,1,0
70791.5,128,342.75,2564.35,0,0
78995,117,475,2655.5,0,1
733749.5,0,540.75,9930.55,5,0
489372.5,6,430.5,7215.25,4,0
30215,234,98.5,2113.5,0,0
123752,70,404.5,3152.8,1,0
183975.5,44,420.75,3821.95,1,0
57791,153,100.75,2419.9,1,0
112160,78,321.25,3024,1,0
42644,192,128.5,2251.6,0,0
88809.5,105,280,2764.55,1,0
163311.5,51,412,3592.35,1,1
32168,231,348.5,2135.2,0,0
376242.5,14,369.5,5958.25,4,0
41051,197,103,2233.9,0,0
142710.5,60,99.5,3363.45,5,0
44570,181,354.5,2273,0,1
582900.5,3,445.25,8254.45,5,0
258608,29,226.5,4651.2,4,1
48926,173,102,2321.4,1,0
338532.5,18,421.25,5539.25,3,0
41852,190,522,2242.8,0,1
126357.5,68,409.75,3181.75,1,0
470018,7,474.25,7000.2,4,1
78909.5,116,102.75,2654.55,2,0
90218,102,123.5,2780.2,2,0
123113,71,372.25,3145.7,1,1
65324,138,382.25,2503.6,0,1
160332.5,52,526.75,3559.25,1,0
132680,63,102.75,3252,4,0
22695.5,289,149.75,2029.95,0,1
24077,289,226.5,2045.3,0,0
79638.5,116,422.5,2662.65,0,1
240797,32,373.75,4453.3,2,0
120048.5,72,396.25,3111.65,1,1
22232,290,124,2024.8,0,1
112146.5,78,259,3023.85,1,0
27393.5,252,152,2082.15,0,0
42032,189,98.25,2244.8,1,0
234119,33,283,4379.1,3,0
305601.5,22,359.5,5173.35,3,0
67790,132,455,2531,0,1
143786,59,98.75,3375.4,5,0
751637,0,548.5,10129.3,5,0
127343,68,96.5,3192.7,4,0
191148.5,42,482.75,3901.65,1,0
72866,125,120.5,2587.4,1,0
606777.5,2,556.75,8519.75,4,0
743748.5,0,561.25,10041.65,5,0
21867.5,332,103.75,2020.75,0,0
261303.5,28,509.5,4681.15,2,0
120107,73,400.25,3112.3,1,0
686495,1,527.75,9405.5,5,0
113055.5,77,391.5,3033.95,1,0
286305.5,25,344.25,4958.95,3,0
261636.5,28,399.75,4684.85,2,0
396128,12,277.25,6179.2,5,0
27191,250,399.5,2079.9,0,1
194100.5,41,533,3934.45,1,1
618869,2,512.25,8654.1,4,0
27605,252,230,2084.5,0,1
22272.5,295,126.25,2025.25,0,0
121178,72,98.75,3124.2,4,0
68604.5,130,100,2540.05,2,0
197826.5,40,434,3975.85,1,0
329370.5,19,293.75,5437.45,4,0
302582,22,226.25,5139.8,5,0
361028,16,283,5789.2,5,0
499205,6,421,7324.5,5,0
76214,120,400,2624.6,0,0
44151.5,182,350.75,2268.35,0,1
185321,43,123.75,3836.9,5,0
21818,328,101,2020.2,0,0
36141.5,211,250.25,2179.35,0,1
39741.5,195,96.75,2219.35,0,0
135987.5,62,253,3288.75,1,0
249117.5,30,405.75,4545.75,2,0
24968,263,276,2055.2,0,1
265083.5,28,449.5,4723.15,2,0
389652.5,13,426.5,6107.25,3,0
538458.5,3,540,7760.65,4,0
447275,9,467.5,6747.5,3,0
27614,253,423,2084.6,0,1
161021,51,101.25,3566.9,5,0
83180,109,125.75,2702,2,0
30269,237,272,2114.1,0,1
46914.5,176,148,2299.05,0,0
137535.5,61,365.75,3305.95,1,0
120827,72,475,3120.3,0,1
45591.5,182,98.75,2284.35,1,0
591545,2,433,8350.5,5,0
729047,0,546,9878.3,5,0
306888.5,22,373.5,5187.65,3,0
571353.5,3,472,8126.15,5,0
85817,108,274,2731.3,1,0
44606,182,376.75,2273.4,0,0
247862,31,325,4531.8,3,0
116687,76,372,3074.3,1,1
24369.5,271,242.75,2048.55,0,1
406860.5,12,495,6298.45,3,0
435759.5,10,467.5,6619.55,3,0
33243.5,214,352,2147.15,0,1
23618,292,201,2040.2,0,1
256997,29,418.5,4633.3,2,0
37374.5,204,99.25,2193.05,0,0
389351,13,297.75,6103.9,5,0
650733.5,1,575.5,9008.15,4,0
541199,3,571.75,7791.1,3,0
27249.5,250,223,2080.55,0,1
130578.5,65,225,3228.65,2,0
31898,230,205.75,2132.2,0,1
142787,59,534.5,3364.3,1,1
463281.5,8,449.25,6925.35,4,0
156809,53,249.25,3520.1,2,0
472902.5,7,566.5,7032.25,3,0
517407.5,5,440.5,7526.75,4,0
127572.5,69,124.5,3195.25,3,0
200652.5,40,525,4007.25,1,0
118964,74,96.75,3099.6,4,1
175965.5,47,121.25,3732.95,5,0
156008,54,472.25,3511.2,1,1
330513.5,19,298.75,5450.15,4,0
22232,289,124,2024.8,0,1
215484.5,37,535.25,4172.05,1,0
26354,267,353,2070.6,0,1
56099,157,427,2401.1,0,1
526236.5,4,525.25,7624.85,4,1
140582,60,324.75,3339.8,1,0
89475.5,101,275,2771.95,1,0
42027.5,188,252.75,2244.75,0,0
49061,169,275.75,2322.9,0,0
64842.5,140,256,2498.25,0,0
22286,291,127,2025.4,0,0
351897.5,17,272.25,5687.75,5,0
180195.5,45,475.75,3779.95,1,1
180524,45,380,3783.6,1,0
103443.5,87,221.75,2927.15,1,0
26300,279,350,2070,0,1
74589.5,123,372.5,2606.55,0,1
59186,146,224.25,2435.4,0,1
174143,47,380.5,3712.7,1,1
201908,39,306,4021.2,2,0
194672,41,434,3940.8,1,0
71102,129,446.75,2567.8,0,0
39831.5,194,98.5,2220.35,0,0
21822.5,333,101.25,2020.25,0,0
509280.5,5,380.25,7436.45,5,0
329375,19,504,5437.5,2,0
291417.5,24,372.75,5015.75,3,0
26624,249,368,2073.6,0,1
155882,53,324.5,3509.8,1,0
55649,157,477.25,2396.1,0,1
52098.5,165,452,2356.65,0,0
389810,13,301.5,6109,5,0
302753,22,409.25,5141.7,2,0
130619,66,124,3229.1,4,0
227301.5,34,374.5,4303.35,2,1
204896,39,377.75,4054.4,2,0
356766.5,17,505.75,5741.85,2,0
351420.5,17,393.75,5682.45,3,0
21732.5,334,96.25,2019.25,0,0
189762.5,42,445.25,3886.25,1,0
460559,8,575.25,6895.1,3,0
50744,165,346.75,2341.6,0,0
57399.5,155,403,2415.55,0,1
531776,4,550.25,7686.4,3,0
141959,59,99.5,3355.1,5,0
295278.5,23,401.5,5058.65,2,1
220794.5,36,465.75,4231.05,1,1
311271.5,21,457.5,5236.35,2,0
411509,11,412.25,6350.1,4,1
403760,12,300,6264,5,0
24032,312,224,2044.8,0,0
58007,155,243,2422.3,0,0
395903,12,300.25,6176.7,5,0
482429,6,513.5,7138.1,4,0
99204.5,91,414.5,2880.05,0,0
32514.5,232,351.75,2139.05,0,1
107628.5,83,179.5,2973.65,2,0
152304.5,54,413.25,3470.05,1,0
86541.5,108,99.25,2739.35,2,0
34575.5,215,96,2161.95,0,0
418065.5,11,474.5,6422.95,3,0
66012.5,135,369.25,2511.25,0,1
34022,215,403,2155.8,0,1
496455.5,6,379,7293.95,5,1
448386.5,9,523,6759.85,3,1
573360.5,3,440.75,8148.45,5,0
340908.5,18,474,5565.65,2,0
614270,2,517,8603,4,1
184709,44,273.25,3830.1,2,0
580142,3,428.75,8223.8,5,0
425778.5,10,337.25,6508.65,5,0
139533.5,60,102.5,3328.15,4,0
97850,91,101.25,2865,3,0
26489,247,360.5,2072.1,0,0
35138,208,452,2168.2,0,1
137315,61,97.25,3303.5,5,0
109716.5,81,224.75,2996.85,1,0
598781,2,485,8430.9,4,0
225087.5,35,314,4278.75,2,0
81326,114,223,2681.4,1,0
71691.5,128,445.75,2574.35,0,0
53471,163,424,2371.9,0,1
95609,93,209.5,2840.1,1,1
96140,93,401.25,2846,0,1
100010,89,270.5,2889,1,0
634106,2,526.25,8823.4,4,0
92459,100,153.75,2805.1,2,1
381507.5,14,485.5,6016.75,3,0
27537.5,247,101,2083.75,0,0
376323.5,14,494,5959.15,3,0
279069.5,26,251.5,4878.55,4,0
105113,84,102.75,2945.7,3,0
143574.5,59,379.5,3373.05,1,0
64329.5,138,482.5,2492.55,0,1
146540,57,299.75,3406,1,0
21723.5,336,95.75,2019.15,0,0
646656.5,1,493.25,8962.85,5,0
751398.5,0,563,10126.65,5,0
82122.5,112,103,2690.25,2,0
36335,207,428.25,2181.5,0,1
94772,97,178.75,2830.8,1,0
524756,4,498.75,7608.4,4,0
348212,17,480.5,5646.8,2,0
349602.5,17,425.5,5662.25,3,0
22281.5,308,126.75,2025.35,0,0
250985,30,524.75,4566.5,1,1
497783,6,448.25,7308.7,4,0
146922.5,57,433.75,3410.25,1,0
320514.5,20,431,5339.05,3,0
24558.5,272,253.25,2050.65,0,1
445911.5,9,324,6732.35,5,0
28176.5,250,454.25,2090.85,0,1
476070.5,7,540.5,7067.45,3,0
39327.5,204,99.75,2214.75,0,1
458723,8,427.25,6874.7,4,1
231360.5,34,273.75,4348.45,3,0
385670,13,452,6063,3,0
23960,312,220,2044,0,0
253572.5,29,478,4595.25,2,0
227859.5,34,424,4309.55,2,0
28037,252,221.5,2089.3,0,0
53079.5,161,99.5,2367.55,1,0
375005,15,475.25,5944.5,3,0
556935.5,3,450.25,7965.95,5,0
352523,17,549.5,5694.7,2,0
247200.5,31,369.75,4524.45,2,1
182333,44,273,3803.7,2,0
57359,151,100.25,2415.1,1,0
76173.5,119,98.75,2624.15,2,0
41393,197,100.25,2237.7,0,0
650684,1,497.25,9007.6,5,1
366392,15,279.5,5848.8,5,0
57746,155,98.5,2419.4,1,0
152187.5,54,99,3468.75,5,0
543080,3,477,7812,4,0
277530.5,26,469.75,4861.45,2,0
21791,332,99.5,2019.9,0,1
21764,328,98,2019.6,0,1
41033,198,406.75,2233.7,0,1
115953.5,74,122.25,3066.15,3,0
213414.5,37,374.75,4149.05,2,0
422570,10,436.75,6473,3,0
339054.5,18,353.25,5545.05,3,0
127617.5,68,366.25,3195.75,1,0
637301,2,493.5,8858.9,5,0
112223,79,124,3024.7,3,0
186131,43,416.5,3845.9,1,1
26777,254,376.5,2075.3,0,1
31902.5,226,121.5,2132.25,0,0
66390.5,137,349.25,2515.45,0,0
274740.5,27,502.75,4830.45,2,0
119945,73,128.5,3110.5,3,0
60437,149,203.5,2449.3,0,0
275469.5,27,258.25,4838.55,4,0
503876,6,525.5,7376.4,4,0
97274,93,429.75,2858.6,0,0
145554.5,57,378,3395.05,1,0
377813,14,291.25,5975.7,5,0
126429.5,69,97,3182.55,4,1
450600.5,9,326,6784.45,5,0
30755,236,267.25,2119.5,0,0
66701,134,227,2518.9,0,1
100950.5,89,98.75,2899.45,3,0
126542,69,222.25,3183.8,2,0
84804.5,106,104.25,2720.05,2,0
782138,0,570.25,10468.2,5,0
304508,22,449.25,5161.2,2,0
24954.5,265,275.25,2055.05,0,0
189429.5,42,564.75,3882.55,1,0
476336,7,507.75,7070.4,3,0
564455,3,573.25,8049.5,4,0
125003,69,324,3166.7,1,0
284388.5,25,402,4937.65,2,0
595680.5,2,529.5,8396.45,4,1
26259.5,264,347.75,2069.55,0,1
134322.5,64,125.25,3270.25,4,0
88359.5,104,473.75,2759.55,0,0
705039.5,0,527.5,9611.55,5,0
167847.5,50,123.5,3642.75,4,0
159086,52,348.75,3545.4,1,0
342416,18,301,5582.4,4,0
220439,36,405.25,4227.1,2,1
147611,56,122,3417.9,4,0
244518.5,32,520.75,4494.65,1,0
269151.5,27,464.5,4768.35,2,0
233237,33,404,4369.3,2,0
23420,300,100,2038,0,0
26759,251,375.5,2075.1,0,0
29081,235,98.25,2100.9,0,0
165264.5,50,347.25,3614.05,1,0
54731,156,505.75,2385.9,0,1
80592.5,113,499,2673.25,0,1
776441,0,580.25,10404.9,5,0
271977.5,27,200.25,4799.75,5,0
608460.5,2,510.5,8538.45,4,0
613005.5,2,448.5,8588.95,5,0
98129,92,99.5,2868.1,3,0
86091.5,107,279.75,2734.35,1,1
49754,172,103.25,2330.6,1,0
24950,285,275,2055,0,1
70796,129,350.25,2564.4,0,0
138381.5,61,268,3315.35,1,0
26723,252,373.5,2074.7,0,1
187535,43,401.25,3861.5,1,1
267248,28,380.25,4747.2,2,0
69864.5,127,378.5,2554.05,0,0
60806,147,480.5,2453.4,0,1
109532,81,345,2994.8,1,1
40317.5,199,98.25,2225.75,0,0
213050,37,226.5,4145,3,1
170444,49,407.25,3671.6,1,0
740342,0,542.5,10003.8,5,0
81204.5,113,417.75,2680.05,0,1
571776.5,3,422.5,8130.85,5,0
147350,57,500.75,3415,1,0
578175.5,3,443,8201.95,5,0
20000,350,262.75,2000,0,0
26691.5,241,371.75,2074.35,0,1
613752.5,2,524,8597.25,4,0
30273.5,234,295,2114.15,0,0
32546,228,372,2139.4,0,1
371234,15,320.25,5902.6,4,0
21836,351,102,2020.4,0,0
101324,89,218.75,2903.6,1,1
180708.5,45,304.5,3785.65,2,0
145788.5,57,99,3397.65,5,0
31794.5,228,142.25,2131.05,0,1
131460.5,66,498.5,3238.45,0,1
370914.5,15,581.25,5899.05,2,0
530840,4,403.5,7676,5,0
428883.5,10,326,6543.15,5,0
409412,11,420.25,6326.8,4,0
515229.5,5,397.25,7502.55,5,0
180416,44,470.5,3782.4,1,1
96662,94,390,2851.8,0,0
35075,213,471,2167.5,0,1
65256.5,140,402.5,2502.85,0,1
21786.5,355,99.25,2019.85,0,0
183647,44,471.5,3818.3,1,0
587013.5,3,532.25,8300.15,4,0
50132,168,371.75,2334.8,0,1
552525.5,3,527.25,7916.95,4,0
276716,26,475,4852.4,2,0
391875.5,13,524,6131.95,3,1
159167,52,271.5,3546.3,2,0
47234,174,350.25,2302.6,0,0
193641.5,41,376,3929.35,2,1
43890.5,185,100.25,2265.45,0,0
649050.5,1,527,8989.45,5,0
149780,55,258,3442,2,0
444206,9,427.5,6713.4,4,0
178274,46,378,3758.6,1,1
333200,19,500.25,5480,2,1
446447,9,456.25,6738.3,4,0
775923.5,0,578.75,10399.15,5,0
508731.5,5,473.5,7430.35,4,0
81825.5,110,98,2686.95,2,0
533567,4,499.5,7706.3,4,0
64158.5,137,105.5,2490.65,1,0
142422.5,59,100.25,3360.25,5,0
35700.5,209,399.75,2174.45,0,0
684182,1,535.75,9379.8,5,0
27650,240,425,2085,0,1
111957.5,79,447.75,3021.75,0,0
472614.5,7,407.75,7029.05,4,0
195986,41,292.25,3955.4,2,0
626978,2,478.25,8744.2,5,0
465203,7,403,6946.7,4,0
762365,0,565.5,10248.5,5,0
74144,123,294.75,2601.6,0,0
21759.5,347,97.75,2019.55,0,0
95069,97,430.25,2834.1,0,1
73730,126,227.75,2597,1,1
258248,29,394.75,4647.2,2,0
313940,21,431.5,5266,3,1
626982.5,2,525.25,8744.25,5,0
493895,6,509.5,7265.5,3,0
48044,175,98.75,2311.6,1,0
737021,0,551.5,9966.9,5,0
759836,0,578,10220.4,5,0
123792.5,70,96.75,3153.25,4,0
66327.5,135,128,2514.75,1,0
253653.5,30,401.75,4596.15,2,1
362720,16,343.75,5808,4,0
21791,340,99.5,2019.9,0,0
263738,28,353,4708.2,2,0
88404.5,104,351,2760.05,0,0
24437,279,246.5,2049.3,0,0
562997,3,536.25,8033.3,4,0
28014.5,242,118,2089.05,0,0
66453.5,136,348.5,2516.15,0,0
547557.5,3,497.5,7861.75,4,0
60135.5,149,321.5,2445.95,0,0
467606,7,354.25,6973.4,5,0
170052.5,48,509.5,3667.25,1,0
502197.5,6,367.5,7357.75,5,0
337484,19,501.25,5527.6,2,1
58034,152,202,2422.6,0,0
119292.5,74,96.25,3103.25,4,0
267860,27,298,4754,3,0
82752.5,109,324.5,2697.25,0,0
525300.5,4,501.5,7614.45,4,1
308396,21,554.25,5204.4,2,0
447288.5,9,405.25,6747.65,4,0
297389,23,490.25,5082.1,2,0
73811,126,352.5,2597.9,0,0
322886,20,472.75,5365.4,2,0
23492,304,98.25,2038.8,0,0
41019.5,200,95,2233.55,0,1
26777,246,376.5,2075.3,0,1
51158,166,446,2346.2,0,1
21710,346,95,2019,0,0
25553,276,100,2061.7,0,0
27713,246,428.5,2085.7,0,1
320820.5,20,316.25,5342.45,4,0
27659,246,100.5,2085.1,0,0
687989,1,495.75,9422.1,5,0
620124.5,2,452,8668.05,5,0
746394.5,0,559.5,10071.05,5,0
125732,71,124.5,3174.8,3,0
509150,6,417.5,7435,4,0
239474,32,421.5,4438.6,2,0
24104,303,228,2045.6,0,0
84237.5,109,308.25,2713.75,0,1
102453.5,86,274.25,2916.15,1,0
41348,197,327.75,2237.2,0,0
435309.5,10,451.75,6614.55,3,0
147300.5,57,102,3414.45,5,0
125345,70,372.75,3170.5,1,0
24293,303,99.75,2047.7,0,0
457332.5,8,371.25,6859.25,5,0
461288,8,543.25,6903.2,3,0
344720,18,547.75,5608,2,0
568482.5,3,433.25,8094.25,5,0
297641,23,405,5084.9,2,0
232107.5,33,239.25,4356.75,3,0
767544.5,0,572.75,10306.05,5,0
630776,2,526.25,8786.4,5,1
42405.5,187,149.75,2248.95,0,1
79674.5,116,325,2663.05,0,1
142139,59,102.75,3357.1,5,0
457431.5,8,549,6860.35,3,0
327638,19,347.5,5418.2,3,0
76826,119,244.25,2631.4,1,0
36767,208,126.25,2186.3,0,0
647907.5,1,514.25,8976.75,5,0
459636.5,8,437.75,6884.85,4,0
67065.5,134,392.75,2522.95,0,0
52634,163,172.75,2362.6,0,0
538022,3,460.25,7755.8,4,0
322008.5,20,425.25,5355.65,3,0
56625.5,157,98.5,2406.95,1,0
32384,227,100,2137.6,0,1
235613,33,475.75,4395.7,1,0
197129,40,421.25,3968.1,1,0
633750.5,2,523,8819.45,5,0
734910.5,0,558.25,9943.45,5,0
429252.5,10,450.25,6547.25,3,1
441911,9,553.75,6687.9,3,1
242655.5,32,275,4473.95,3,0
610661,2,449.25,8562.9,5,0
35867,208,101.75,2176.3,0,0
221258,35,272.75,4236.2,3,0
648708.5,1,527.5,8985.65,5,1
299891,23,497.25,5109.9,2,0
462021.5,8,354.5,6911.35,5,0
541518.5,3,522.75,7794.65,4,1
96977,93,426.25,2855.3,0,1
165818,50,127,3620.2,5,0
244937,31,280.75,4499.3,3,1
28059.5,245,447.75,2089.55,0,1
405848,12,449.25,6287.2,3,0
55536.5,159,126.25,2394.85,1,0
190968.5,42,472.75,3899.65,1,1
24113,304,228.5,2045.7,0,1
329793.5,19,348.25,5442.15,3,0
34535,215,447.5,2161.5,0,1
175934,46,350,3732.6,1,0
40007,200,347.75,2222.3,0,1
26714,260,373,2074.6,0,1
78977,118,100.5,2655.3,2,0
62772.5,142,124,2475.25,1,0
34787,214,98.25,2164.3,0,1
97859,91,475.5,2865.1,0,0
571943,3,444.25,8132.7,5,0
343775,18,394,5597.5,3,0
23231,305,99.25,2035.9,0,1
82788.5,109,101.75,2697.65,2,0
28644.5,234,121.25,2096.05,0,1
58583,154,226.25,2428.7,0,0
21804.5,321,100.25,2020.05,0,0
421323.5,11,347.75,6459.15,5,0
125084,70,97.5,3167.6,4,0
41429,193,373.75,2238.1,0,0
33063.5,214,348.25,2145.15,0,1
150779,55,151,3453.1,3,0
37194.5,213,228.25,2191.05,0,1
383537,13,289,6039.3,5,0
113550.5,77,99.25,3039.45,4,0
140249,60,127.75,3336.1,4,0
26754.5,255,375.25,2075.05,0,1
64406,139,124.25,2493.4,1,0
249581,30,245.75,4550.9,4,1
672153.5,1,551.75,9246.15,5,0
128355.5,66,122.75,3203.95,3,0
25602.5,276,173.5,2062.25,0,1
48224,169,539.75,2313.6,0,0
359826.5,16,407,5775.85,3,0
27200,257,400,2080,0,1
435444.5,10,369,6616.05,4,0
37608.5,204,322,2195.65,0,0
396956,12,518.75,6188.4,3,0
26399,277,355.5,2071.1,0,0
24491,276,249.5,2049.9,0,0
133976,64,123,3266.4,3,0
28199,257,246.25,2091.1,0,1
166106,50,150.5,3623.4,4,0
393450.5,13,417,6149.45,3,0
21840.5,326,102.25,2020.45,0,0
231005,34,376.25,4344.5,2,0
111174.5,79,102.75,3013.05,3,0
44363,185,375.5,2270.7,0,1
57530,155,100.25,2417,1,0
21858.5,327,103.25,2020.65,0,0
588458,2,425.75,8316.2,5,0
35133.5,210,250.75,2168.15,0,1
381624.5,14,424.75,6018.05,3,0
453044,9,332.5,6811.6,5,0
397073,13,316.5,6189.7,5,0
276360.5,27,415.75,4848.45,2,0
246458,31,424.5,4516.2,2,0
23024,298,102.75,2033.6,0,0
38760.5,204,246.25,2208.45,0,0
201381.5,40,399.25,4015.35,1,1
356582,17,298,5739.8,5,0
286760,25,523.25,4964,2,0
223706,35,376.5,4263.4,2,0
219062,36,400.5,4211.8,2,0
21759.5,327,97.75,2019.55,0,1
171533,48,405,3683.7,1,0
156710,53,123.5,3519,4,0
124764.5,70,430,3164.05,1,0
173981,48,127,3710.9,5,0
402099.5,12,445.75,6245.55,3,0
393131,13,291.25,6145.9,5,0
259787,28,428.25,4664.3,2,0
134975,62,251.75,3277.5,2,0
523037,5,401.75,7589.3,5,0
23127.5,297,101,2034.75,0,0
137535.5,61,102.75,3305.95,4,0
54317,161,429.75,2381.3,0,1
32735,226,226.75,2141.5,0,1
299499.5,23,472.5,5105.55,2,1
38409.5,204,106.25,2204.55,0,0
74531,123,131.25,2605.9,1,0
52049,167,404.25,2356.1,0,0
268233.5,28,458.5,4758.15,2,1
452508.5,9,371,6805.65,5,0
374753,14,436.25,5941.7,3,1
28347.5,261,101.75,2092.75,0,0
191094.5,42,377.5,3901.05,1,0
535763,4,395.25,7730.7,5,0
238106,32,450.75,4423.4,2,0
168810.5,49,253,3653.45,2,0
319434.5,20,552.25,5327.05,2,0
657695,1,505,9085.5,5,0
320969,20,396.75,5344.1,3,0
622761.5,2,449.25,8697.35,5,0
279191,26,325,4879.9,3,0
32339,227,402.25,2137.1,0,0
110769.5,79,492.75,3008.55,0,1
159644,52,120.5,3551.6,4,0
38193.5,202,220.25,2202.15,0,0
729402.5,0,554,9882.25,5,0
757676,0,574.75,10196.4,5,0
38261,202,375.25,2202.9,0,0
96959,94,96.25,2855.1,3,0
543530,3,450.25,7817,4,0
168765.5,49,283.5,3652.95,2,0
524013.5,4,400.75,7600.15,5,0
66417.5,136,356.75,2515.75,0,0
20000,322,101.25,2000,0,0
37145,211,451.75,2190.5,0,0
185852,43,492.75,3842.8,1,1
132842,63,98.5,3253.8,5,0
25148,266,99.25,2057.2,0,0
134259.5,64,429.5,3269.55,1,1
610706,2,451.75,8563.4,5,0
21872,323,104,2020.8,0,0
